Tweet ID,Text,Username,Time,Location
1327975031817859073,"RT @XArmandKleinX: Senator Rand Paul @RandPaul accused the nation's top infectious disease expert Dr Fauci of ""glossing over the science"" w…",@girlforce4⭐️⭐️⭐️,2020-02-03 00:00:00,USA
1327975044601896962,Anyway on a strict lockdown from now ❌,BeTan⁷,2020-02-03 00:00:00,India
1327975065036742657,"RT @voxdotcom: Blue states are trying to control their #Covid19 epidemics, but they misunderstand the utility of school closures. Many red…",elenab,2020-02-03 00:00:00,USA
1327975076730269696,"Are they mad taking crucial steps to avoid the spread of the virus 
Please the top personnel need to understand the… https://t.co/PyaKykNx2X",Nalini jain☁️,2020-02-03 00:00:00,India
1327975084170985473,RT @USAID_NISHTHA: Join the 'Jan Andolan' campaign launched by Hon'ble Prime Minister to defeat #COVID19 #Unite2FightCorona #TogetherAgains…,Veeresh Biradar,2020-02-03 00:00:00,India
1327975096695148544,RT @AusHCIndia: The @RSSorg has been actively supporting the community during #COVID19. I met with Sarsanghchalak Dr Mohan Bhagwat who shar…,Kumar Aditya 🇮🇳,2020-02-03 00:00:00,India
1327975116894916608,RT @filmipedia: Urvashi ruling kollywood this lockdown👌 https://t.co/QZbdtNgDMP,M.Mahalakshmi💜,2020-02-03 00:00:00,India
1327975121856901123,RT @DrEricDing: THIS IS BRILLIANT. Hilarious German 🇩🇪 government ad on how to fight the Great War of 2020. #COVID19 https://t.co/TDqUCNTHK5,Claudia Rangel,2020-02-03 00:00:00,Canada
1327975126286024704,@PMOIndia @AmitShah @ArvindKejriwal .. lockdown is the need of hour... people are not taking precautions,saransh,2020-02-03 00:00:00,India
1327975147211427840,RT @mattgreenfield: People who refuse to wear masks will be outraged when they are unable to get ICU beds and die in hospital hallways. But…,Biden-Harris 2020,2020-02-03 00:00:00,USA
1327975151036628992,RT @IngrahamAngle: Translation: Get ready to be locked down.  Because lockdowns worked so well in Europe!,President Elect I fight 🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲,2020-02-03 00:00:00,USA
1327975154329251841,RT @DrMuradPTI: Tomorrow is the meeting of all Provincial Education Ministers to discuss the prevailing condition of COVID 19. In my opinio…,Faheem khan,2020-02-03 00:00:00,Pakistan
1327975161174183938,Very enlightening... The worst hit nations are the champions of 'democracy' but who failed miserably to respect the… https://t.co/XCR2RWcTXZ,Ngamminlun Kipgen,2020-02-03 00:00:00,India
1327975173518094338,"RT @USAID_NISHTHA: Practicing #COVID19 appropriate behaviors - wearing a mask, handwashing and maintaining social distancing will help win…",Veeresh Biradar,2020-02-03 00:00:00,India
1327975214735446018,RT @USAID_NISHTHA: Did you know ? You can now call on the NISHTHA Swasthya Vaani IVRS number in Guna - 9266021555 to avail information on #…,Veeresh Biradar,2020-02-03 00:00:00,India
1327975245614100481,"RT @MichaelPSenger: Important: the name “SARS-CoV-2” is itself propaganda.

SARS (severe acute respiratory syndrome) is simply a name for a…",Charley Workman,2020-02-03 00:00:00,Canada
